evaluation_year,architecture,policy,seed,accuracy,changed_accuracy,con_seats,lab_seats,lib_seats,natSW_seats,oth_seats
2001,32_16,fixed_0.3,101223,0.8939157566302652,0.20833333333333334,219,420,2,0,0
2001,32_16,fixed_0.3,101224,0.9516380655226209,0.08333333333333333,169,419,53,0,0
2001,32_16,fixed_0.3,101225,0.8970358814352574,0.25,202,431,8,0,0
2001,32_16,fixed_0.3,101226,0.9141965678627145,0.125,204,415,12,10,0
2001,32_16,fixed_0.3,101227,0.8627145085803433,0.375,245,396,0,0,0
2001,32_16,fixed_0.3,101228,0.8892355694227769,0.20833333333333334,214,427,0,0,0
2001,32_16,fixed_0.3,101229,0.9438377535101404,0.08333333333333333,181,418,36,6,0
2001,32_16,fixed_0.3,101230,0.9344773790951638,0.25,188,424,29,0,0
2001,32_16,fixed_0.3,101231,0.9375975039001561,0.125,189,417,25,10,0
2001,32_16,fixed_0.3,101232,0.9204368174726989,0.20833333333333334,203,415,23,0,0
2001,64_32,validation_all_rates,101223,0.9032761310452418,0.16666666666666666,175,437,19,10,0
2001,64_32,validation_all_rates,101224,0.9469578783151326,0.20833333333333334,149,419,62,11,0
2001,64_32,validation_all_rates,101225,0.9173166926677067,0.16666666666666666,164,438,28,11,0
2001,64_32,validation_all_rates,101226,0.953198127925117,0.16666666666666666,162,419,48,12,0
2001,64_32,validation_all_rates,101227,0.9500780031201248,0.08333333333333333,169,423,40,9,0
2001,64_32,validation_all_rates,101228,0.8876755070202809,0.20833333333333334,223,418,0,0,0
2001,64_32,validation_all_rates,101229,0.9485179407176287,0.041666666666666664,172,420,38,11,0
2001,64_32,validation_all_rates,101230,0.9251170046801872,0.16666666666666666,198,419,17,7,0
2001,64_32,validation_all_rates,101231,0.9469578783151326,0.16666666666666666,183,416,34,8,0
2001,64_32,validation_all_rates,101232,0.9375975039001561,0.041666666666666664,184,412,35,10,0
2001,64_32,fixed_0.3,101223,0.9048361934477379,0.20833333333333334,213,415,8,5,0
2001,64_32,fixed_0.3,101224,0.9656786271450858,0.08333333333333333,168,419,45,9,0
2001,64_32,fixed_0.3,101225,0.8939157566302652,0.16666666666666666,205,431,3,2,0
2001,64_32,fixed_0.3,101226,0.9375975039001561,0.20833333333333334,193,410,28,10,0
2001,64_32,fixed_0.3,101227,0.8174726989079563,0.4166666666666667,276,365,0,0,0
2001,64_32,fixed_0.3,101228,0.8299531981279251,0.4166666666666667,266,375,0,0,0
2001,64_32,fixed_0.3,101229,0.9500780031201248,0.08333333333333333,178,419,35,9,0
2001,64_32,fixed_0.3,101230,0.8954758190327613,0.25,190,433,18,0,0
2001,64_32,fixed_0.3,101231,0.9251170046801872,0.16666666666666666,199,416,20,6,0
2001,64_32,fixed_0.3,101232,0.8892355694227769,0.20833333333333334,215,426,0,0,0
2005,16,validation_all_rates,101223,0.7643312101910829,0.6140350877192983,328,256,33,11,0
2005,16,validation_all_rates,101224,0.7643312101910829,0.6491228070175439,332,251,35,10,0
2005,16,validation_all_rates,101225,0.8694267515923567,0.5263157894736842,248,319,50,11,0
2005,16,validation_all_rates,101226,0.8184713375796179,0.5263157894736842,283,287,48,10,0
2005,16,validation_all_rates,101227,0.8168789808917197,0.6140350877192983,296,282,41,9,0
2005,16,validation_all_rates,101228,0.8136942675159236,0.6666666666666666,301,276,39,12,0
2005,16,validation_all_rates,101229,0.8375796178343949,0.6140350877192983,280,300,38,10,0
2005,16,validation_all_rates,101230,0.7898089171974523,0.631578947368421,312,268,38,10,0
2005,16,validation_all_rates,101231,0.7945859872611465,0.6140350877192983,311,277,31,9,0
2005,16,validation_all_rates,101232,0.8248407643312102,0.5789473684210527,285,301,32,10,0
2005,16,fixed_0.3,101223,0.7866242038216561,0.6140350877192983,316,265,37,10,0
2005,16,fixed_0.3,101224,0.802547770700637,0.6491228070175439,306,270,41,11,0
2005,16,fixed_0.3,101225,0.8328025477707006,0.631578947368421,283,292,41,12,0
2005,16,fixed_0.3,101226,0.8057324840764332,0.5263157894736842,292,279,48,9,0
2005,16,fixed_0.3,101227,0.8471337579617835,0.5789473684210527,270,310,38,10,0
2005,16,fixed_0.3,101228,0.7914012738853503,0.6666666666666666,315,267,34,12,0
2005,16,fixed_0.3,101229,0.8105095541401274,0.6491228070175439,302,280,37,9,0
2005,16,fixed_0.3,101230,0.8009554140127388,0.5964912280701754,302,281,36,9,0
2005,16,fixed_0.3,101231,0.7914012738853503,0.6140350877192983,313,274,32,9,0
2005,16,fixed_0.3,101232,0.7961783439490446,0.6140350877192983,307,280,30,11,0
2005,32,validation_all_rates,101223,0.7738853503184714,0.6140350877192983,322,268,31,7,0
2005,32,validation_all_rates,101224,0.8057324840764332,0.6140350877192983,299,272,49,8,0
2005,32,validation_all_rates,101225,0.8312101910828026,0.6140350877192983,284,293,41,10,0
2005,32,validation_all_rates,101226,0.7643312101910829,0.6491228070175439,331,251,36,10,0
2005,32,validation_all_rates,101227,0.7898089171974523,0.6491228070175439,316,264,39,9,0
