evaluation_year,architecture,policy,actual_party,predicted_party,seats
2001,16,fixed_0.3,con,oth,0
2001,16,fixed_0.3,lab,con,2
2001,16,fixed_0.3,lab,lab,410
2001,16,fixed_0.3,lab,lib,0
2001,16,fixed_0.3,lab,natSW,0
2001,16,fixed_0.3,lab,oth,0
2001,16,fixed_0.3,lib,con,23
2001,16,fixed_0.3,lib,lab,1
2001,16,fixed_0.3,lib,lib,28
2001,16,fixed_0.3,lib,natSW,0
2001,16,fixed_0.3,lib,oth,0
2001,16,fixed_0.3,natSW,con,0
2001,16,fixed_0.3,natSW,lab,1
2001,16,fixed_0.3,natSW,lib,0
2001,16,fixed_0.3,natSW,natSW,8
2001,16,fixed_0.3,natSW,oth,0
2001,16,fixed_0.3,oth,con,0
2001,16,fixed_0.3,oth,lab,2
2001,16,fixed_0.3,oth,lib,0
2001,16,fixed_0.3,oth,natSW,0
2001,16,fixed_0.3,oth,oth,0
2001,32,validation_all_rates,con,con,160
2001,32,validation_all_rates,con,lab,5
2001,32,validation_all_rates,con,lib,0
2001,32,validation_all_rates,con,natSW,1
2001,32,validation_all_rates,con,oth,0
2001,32,validation_all_rates,lab,con,2
2001,32,validation_all_rates,lab,lab,409
2001,32,validation_all_rates,lab,lib,0
2001,32,validation_all_rates,lab,natSW,1
2001,32,validation_all_rates,lab,oth,0
2001,32,validation_all_rates,lib,con,24
2001,32,validation_all_rates,lib,lab,1
2001,32,validation_all_rates,lib,lib,27
2001,32,validation_all_rates,lib,natSW,0
2001,32,validation_all_rates,lib,oth,0
2001,32,validation_all_rates,natSW,con,0
2001,32,validation_all_rates,natSW,lab,1
2001,32,validation_all_rates,natSW,lib,0
2001,32,validation_all_rates,natSW,natSW,8
2001,32,validation_all_rates,natSW,oth,0
2001,32,validation_all_rates,oth,con,0
2001,32,validation_all_rates,oth,lab,2
2001,32,validation_all_rates,oth,lib,0
2001,32,validation_all_rates,oth,natSW,0
2001,32,validation_all_rates,oth,oth,0
2001,32,fixed_0.3,con,con,160
2001,32,fixed_0.3,con,lab,5
2001,32,fixed_0.3,con,lib,0
2001,32,fixed_0.3,con,natSW,1
2001,32,fixed_0.3,con,oth,0
2001,32,fixed_0.3,lab,con,2
2001,32,fixed_0.3,lab,lab,410
2001,32,fixed_0.3,lab,lib,0
2001,32,fixed_0.3,lab,natSW,0
2001,32,fixed_0.3,lab,oth,0
2001,32,fixed_0.3,lib,con,23
2001,32,fixed_0.3,lib,lab,1
2001,32,fixed_0.3,lib,lib,28
2001,32,fixed_0.3,lib,natSW,0
2001,32,fixed_0.3,lib,oth,0
2001,32,fixed_0.3,natSW,con,0
2001,32,fixed_0.3,natSW,lab,1
2001,32,fixed_0.3,natSW,lib,0
2001,32,fixed_0.3,natSW,natSW,8
2001,32,fixed_0.3,natSW,oth,0
2001,32,fixed_0.3,oth,con,0
2001,32,fixed_0.3,oth,lab,2
2001,32,fixed_0.3,oth,lib,0
2001,32,fixed_0.3,oth,natSW,0
2001,32,fixed_0.3,oth,oth,0
2001,32_16,validation_all_rates,con,con,160
2001,32_16,validation_all_rates,con,lab,5
2001,32_16,validation_all_rates,con,lib,0
2001,32_16,validation_all_rates,con,natSW,1
2001,32_16,validation_all_rates,con,oth,0
2001,32_16,validation_all_rates,lab,con,2
2001,32_16,validation_all_rates,lab,lab,410
2001,32_16,validation_all_rates,lab,lib,0
2001,32_16,validation_all_rates,lab,natSW,0
2001,32_16,validation_all_rates,lab,oth,0
2001,32_16,validation_all_rates,lib,con,23
2001,32_16,validation_all_rates,lib,lab,1
2001,32_16,validation_all_rates,lib,lib,28
2001,32_16,validation_all_rates,lib,natSW,0
2001,32_16,validation_all_rates,lib,oth,0
2001,32_16,validation_all_rates,natSW,con,1
2001,32_16,validation_all_rates,natSW,lab,1
2001,32_16,validation_all_rates,natSW,lib,0
2001,32_16,validation_all_rates,natSW,natSW,7
2001,32_16,validation_all_rates,natSW,oth,0
2001,32_16,validation_all_rates,oth,con,0
2001,32_16,validation_all_rates,oth,lab,2
2001,32_16,validation_all_rates,oth,lib,0
2001,32_16,validation_all_rates,oth,natSW,0
2001,32_16,validation_all_rates,oth,oth,0
2001,32_16,fixed_0.3,con,con,161
2001,32_16,fixed_0.3,con,lab,5
2001,32_16,fixed_0.3,con,lib,0
2001,32_16,fixed_0.3,con,natSW,0
2001,32_16,fixed_0.3,con,oth,0
2001,32_16,fixed_0.3,lab,con,2
2001,32_16,fixed_0.3,lab,lab,410
2001,32_16,fixed_0.3,lab,lib,0
2001,32_16,fixed_0.3,lab,natSW,0
2001,32_16,fixed_0.3,lab,oth,0
2001,32_16,fixed_0.3,lib,con,34
2001,32_16,fixed_0.3,lib,lab,1
2001,32_16,fixed_0.3,lib,lib,17
2001,32_16,fixed_0.3,lib,natSW,0
2001,32_16,fixed_0.3,lib,oth,0
2001,32_16,fixed_0.3,natSW,con,5
2001,32_16,fixed_0.3,natSW,lab,2
2001,32_16,fixed_0.3,natSW,lib,0
2001,32_16,fixed_0.3,natSW,natSW,2
2001,32_16,fixed_0.3,natSW,oth,0
2001,32_16,fixed_0.3,oth,con,0
2001,32_16,fixed_0.3,oth,lab,2
2001,32_16,fixed_0.3,oth,lib,0
2001,32_16,fixed_0.3,oth,natSW,0
2001,32_16,fixed_0.3,oth,oth,0
2001,64_32,validation_all_rates,con,con,157
2001,64_32,validation_all_rates,con,lab,6
2001,64_32,validation_all_rates,con,lib,2
2001,64_32,validation_all_rates,con,natSW,1
2001,64_32,validation_all_rates,con,oth,0
2001,64_32,validation_all_rates,lab,con,2
2001,64_32,validation_all_rates,lab,lab,409
2001,64_32,validation_all_rates,lab,lib,0
2001,64_32,validation_all_rates,lab,natSW,1
2001,64_32,validation_all_rates,lab,oth,0
2001,64_32,validation_all_rates,lib,con,19
2001,64_32,validation_all_rates,lib,lab,1
2001,64_32,validation_all_rates,lib,lib,32
2001,64_32,validation_all_rates,lib,natSW,0
2001,64_32,validation_all_rates,lib,oth,0
2001,64_32,validation_all_rates,natSW,con,0
2001,64_32,validation_all_rates,natSW,lab,1
2001,64_32,validation_all_rates,natSW,lib,0
2001,64_32,validation_all_rates,natSW,natSW,8
2001,64_32,validation_all_rates,natSW,oth,0
2001,64_32,validation_all_rates,oth,con,0
2001,64_32,validation_all_rates,oth,lab,2
2001,64_32,validation_all_rates,oth,lib,0
2001,64_32,validation_all_rates,oth,natSW,0
2001,64_32,validation_all_rates,oth,oth,0
2001,64_32,fixed_0.3,con,con,161
2001,64_32,fixed_0.3,con,lab,5
2001,64_32,fixed_0.3,con,lib,0
2001,64_32,fixed_0.3,con,natSW,0
2001,64_32,fixed_0.3,con,oth,0
2001,64_32,fixed_0.3,lab,con,2
2001,64_32,fixed_0.3,lab,lab,410
2001,64_32,fixed_0.3,lab,lib,0
2001,64_32,fixed_0.3,lab,natSW,0
2001,64_32,fixed_0.3,lab,oth,0
2001,64_32,fixed_0.3,lib,con,36
2001,64_32,fixed_0.3,lib,lab,1
2001,64_32,fixed_0.3,lib,lib,15
2001,64_32,fixed_0.3,lib,natSW,0
2001,64_32,fixed_0.3,lib,oth,0
2001,64_32,fixed_0.3,natSW,con,3
2001,64_32,fixed_0.3,natSW,lab,1
2001,64_32,fixed_0.3,natSW,lib,0
2001,64_32,fixed_0.3,natSW,natSW,5
2001,64_32,fixed_0.3,natSW,oth,0
2001,64_32,fixed_0.3,oth,con,0
2001,64_32,fixed_0.3,oth,lab,2
2001,64_32,fixed_0.3,oth,lib,0
2001,64_32,fixed_0.3,oth,natSW,0
2001,64_32,fixed_0.3,oth,oth,0
2005,16,validation_all_rates,con,con,196
2005,16,validation_all_rates,con,lab,2
2005,16,validation_all_rates,con,lib,0
2005,16,validation_all_rates,con,natSW,0
2005,16,validation_all_rates,con,oth,0
2005,16,validation_all_rates,lab,con,88
2005,16,validation_all_rates,lab,lab,265
2005,16,validation_all_rates,lab,lib,0
2005,16,validation_all_rates,lab,natSW,2
2005,16,validation_all_rates,lab,oth,0
2005,16,validation_all_rates,lib,con,15
2005,16,validation_all_rates,lib,lab,8
2005,16,validation_all_rates,lib,lib,38
2005,16,validation_all_rates,lib,natSW,1
2005,16,validation_all_rates,lib,oth,0
2005,16,validation_all_rates,natSW,con,0
2005,16,validation_all_rates,natSW,lab,2
2005,16,validation_all_rates,natSW,lib,0
2005,16,validation_all_rates,natSW,natSW,7
2005,16,validation_all_rates,natSW,oth,0
2005,16,validation_all_rates,oth,con,2
2005,16,validation_all_rates,oth,lab,2
2005,16,validation_all_rates,oth,lib,0
2005,16,validation_all_rates,oth,natSW,0
2005,16,validation_all_rates,oth,oth,0
2005,16,fixed_0.3,con,con,197
2005,16,fixed_0.3,con,lab,1
2005,16,fixed_0.3,con,lib,0
2005,16,fixed_0.3,con,natSW,0
2005,16,fixed_0.3,con,oth,0
2005,16,fixed_0.3,lab,con,88
2005,16,fixed_0.3,lab,lab,265
2005,16,fixed_0.3,lab,lib,0
2005,16,fixed_0.3,lab,natSW,2
2005,16,fixed_0.3,lab,oth,0
2005,16,fixed_0.3,lib,con,18
2005,16,fixed_0.3,lib,lab,8
2005,16,fixed_0.3,lib,lib,35
2005,16,fixed_0.3,lib,natSW,1
2005,16,fixed_0.3,lib,oth,0
2005,16,fixed_0.3,natSW,con,0
2005,16,fixed_0.3,natSW,lab,2
2005,16,fixed_0.3,natSW,lib,0
2005,16,fixed_0.3,natSW,natSW,7
2005,16,fixed_0.3,natSW,oth,0
2005,16,fixed_0.3,oth,con,2
2005,16,fixed_0.3,oth,lab,2
2005,16,fixed_0.3,oth,lib,0
2005,16,fixed_0.3,oth,natSW,0
2005,16,fixed_0.3,oth,oth,0
2005,32,validation_all_rates,con,con,196
2005,32,validation_all_rates,con,lab,2
2005,32,validation_all_rates,con,lib,0
2005,32,validation_all_rates,con,natSW,0
2005,32,validation_all_rates,con,oth,0
2005,32,validation_all_rates,lab,con,86
2005,32,validation_all_rates,lab,lab,267
2005,32,validation_all_rates,lab,lib,0
2005,32,validation_all_rates,lab,natSW,2
2005,32,validation_all_rates,lab,oth,0
2005,32,validation_all_rates,lib,con,17
2005,32,validation_all_rates,lib,lab,8
2005,32,validation_all_rates,lib,lib,36
2005,32,validation_all_rates,lib,natSW,1
2005,32,validation_all_rates,lib,oth,0
2005,32,validation_all_rates,natSW,con,0
2005,32,validation_all_rates,natSW,lab,2
2005,32,validation_all_rates,natSW,lib,0
2005,32,validation_all_rates,natSW,natSW,7
2005,32,validation_all_rates,natSW,oth,0
2005,32,validation_all_rates,oth,con,2
2005,32,validation_all_rates,oth,lab,2
2005,32,validation_all_rates,oth,lib,0
2005,32,validation_all_rates,oth,natSW,0
2005,32,validation_all_rates,oth,oth,0
2005,32,fixed_0.3,con,con,197
2005,32,fixed_0.3,con,lab,1
2005,32,fixed_0.3,con,lib,0
2005,32,fixed_0.3,con,natSW,0
2005,32,fixed_0.3,con,oth,0
2005,32,fixed_0.3,lab,con,96
2005,32,fixed_0.3,lab,lab,257
2005,32,fixed_0.3,lab,lib,0
2005,32,fixed_0.3,lab,natSW,2
2005,32,fixed_0.3,lab,oth,0
