evaluation_year,architecture,policy,learning_rate,rows,accuracy,overall_changed_score,log_loss,brier,previous_winner_accuracy,known_previous_rows,known_previous_accuracy,previous_winner_known_accuracy,unknown_previous_rows,unknown_previous_accuracy,accuracy_gain_pp,changed_seats,correct_changes,changed_accuracy,called_changes,correct_change_precision,false_changes_on_held_seats,wrong_destination_on_changed_seats,held_seat_accuracy,seat_count_absolute_error
2015,32,validation_all_rates,0.3,632,0.7610759493670886,0.44934531413308554,0.8899482834484346,0.3876468998516818,0.8275316455696202,632,0.7610759493670886,0.8275316455696202,0,,-6.645569620253166,109,15,0.13761467889908258,74,0.20270270270270271,57,2,0.8910133843212237,284
2015,32,fixed_0.3,0.3,632,0.7610759493670886,0.44934531413308554,0.8899482834484346,0.3876468998516818,0.8275316455696202,632,0.7610759493670886,0.8275316455696202,0,,-6.645569620253166,109,15,0.13761467889908258,74,0.20270270270270271,57,2,0.8910133843212237,284
2015,32_16,validation_all_rates,0.3,632,0.7879746835443038,0.4582075252583904,0.7897196610487903,0.3329383926262438,0.8275316455696202,632,0.7879746835443038,0.8275316455696202,0,,-3.9556962025316444,109,14,0.12844036697247707,54,0.25925925925925924,39,1,0.9254302103250478,246
2015,32_16,fixed_0.3,0.3,632,0.7879746835443038,0.4582075252583904,0.7897196610487903,0.3329383926262438,0.8275316455696202,632,0.7879746835443038,0.8275316455696202,0,,-3.9556962025316444,109,14,0.12844036697247707,54,0.25925925925925924,39,1,0.9254302103250478,246
2015,64_32,validation_all_rates,1.0,632,0.759493670886076,0.4485541748925793,0.9548897146692188,0.3750988247688735,0.8275316455696202,632,0.759493670886076,0.8275316455696202,0,,-6.803797468354422,109,15,0.13761467889908258,76,0.19736842105263158,58,3,0.8891013384321224,286
2015,64_32,fixed_0.3,0.3,632,0.7689873417721519,0.4533010103356172,0.8217710564362529,0.359191128023654,0.8275316455696202,632,0.7689873417721519,0.8275316455696202,0,,-5.854430379746834,109,15,0.13761467889908258,69,0.21739130434782608,52,2,0.9005736137667304,274
2017,16,validation_all_rates,1.0,632,0.8924050632911392,0.4909786510485547,0.3782379439333649,0.1876206329950003,0.8939873417721519,632,0.8924050632911392,0.8939873417721519,0,,-0.15822784810126667,67,6,0.08955223880597014,13,0.46153846153846156,7,0,0.9876106194690265,86
2017,16,fixed_0.3,0.3,632,0.8987341772151899,0.5239939542792367,0.2838287144722758,0.1508451789806749,0.8939873417721519,632,0.8987341772151899,0.8939873417721519,0,,0.4746835443038,67,10,0.14925373134328357,17,0.5882352941176471,7,0,0.9876106194690265,62
2017,32,validation_all_rates,1.0,632,0.8781645569620253,0.48385839788399776,0.4015255561559033,0.1966745285698675,0.8939873417721519,632,0.8781645569620253,0.8939873417721519,0,,-1.5822784810126556,67,6,0.08955223880597014,22,0.2727272727272727,16,0,0.9716814159292035,104
2017,32,fixed_0.3,0.3,632,0.8971518987341772,0.4933520687700737,0.2830709121074922,0.1551284375725653,0.8939873417721519,632,0.8971518987341772,0.8939873417721519,0,,0.31645569620253333,67,6,0.08955223880597014,10,0.6,4,0,0.9929203539823008,74
2017,32_16,validation_all_rates,1.0,632,0.8876582278481012,0.4886052333270357,0.3948989190920594,0.1948797232911211,0.8939873417721519,632,0.8876582278481012,0.8939873417721519,0,,-0.6329113924050667,67,6,0.08955223880597014,16,0.375,10,0,0.9823008849557522,90
2017,32_16,fixed_0.3,0.3,632,0.8971518987341772,0.4933520687700737,0.3337121663692124,0.1749377345679398,0.8939873417721519,632,0.8971518987341772,0.8939873417721519,0,,0.31645569620253333,67,6,0.08955223880597014,10,0.6,4,0,0.9929203539823008,80
