evaluation_year,architecture,policy,previous_party,actual_party,seats,correctly_predicted,accuracy,predicted_previous_party
2005,32_16,fixed_0.3,lib,con,5,5,1.0,0
2005,32_16,fixed_0.3,lib,lib,46,35,0.7608695652173914,35
2005,32_16,fixed_0.3,natSW,lib,1,0,0.0,1
2005,32_16,fixed_0.3,natSW,natSW,7,7,1.0,7
2005,32_16,fixed_0.3,oth,oth,2,0,0.0,0
2005,64_32,validation_all_rates,con,con,162,162,1.0,162
2005,64_32,validation_all_rates,con,lab,1,0,0.0,1
2005,64_32,validation_all_rates,con,lib,3,0,0.0,3
2005,64_32,validation_all_rates,lab,con,31,30,0.967741935483871,1
2005,64_32,validation_all_rates,lab,lab,354,258,0.7288135593220338,258
2005,64_32,validation_all_rates,lab,lib,12,1,0.08333333333333333,8
2005,64_32,validation_all_rates,lab,natSW,2,0,0.0,2
2005,64_32,validation_all_rates,lab,oth,2,0,0.0,2
2005,64_32,validation_all_rates,lib,con,5,5,1.0,0
2005,64_32,validation_all_rates,lib,lib,46,34,0.7391304347826086,34
2005,64_32,validation_all_rates,natSW,lib,1,0,0.0,1
2005,64_32,validation_all_rates,natSW,natSW,7,7,1.0,7
2005,64_32,validation_all_rates,oth,oth,2,0,0.0,0
2005,64_32,fixed_0.3,con,con,162,162,1.0,162
2005,64_32,fixed_0.3,con,lab,1,0,0.0,0
2005,64_32,fixed_0.3,con,lib,3,0,0.0,3
2005,64_32,fixed_0.3,lab,con,31,30,0.967741935483871,1
2005,64_32,fixed_0.3,lab,lab,354,259,0.731638418079096,259
2005,64_32,fixed_0.3,lab,lib,12,1,0.08333333333333333,8
2005,64_32,fixed_0.3,lab,natSW,2,0,0.0,2
2005,64_32,fixed_0.3,lab,oth,2,0,0.0,2
2005,64_32,fixed_0.3,lib,con,5,5,1.0,0
2005,64_32,fixed_0.3,lib,lib,46,35,0.7608695652173914,35
2005,64_32,fixed_0.3,natSW,lib,1,0,0.0,1
2005,64_32,fixed_0.3,natSW,natSW,7,7,1.0,7
2005,64_32,fixed_0.3,oth,oth,2,0,0.0,0
2010,16,validation_all_rates,con,con,207,207,1.0,207
2010,16,validation_all_rates,con,lib,3,0,0.0,3
2010,16,validation_all_rates,con,oth,1,0,0.0,1
2010,16,validation_all_rates,lab,con,87,86,0.9885057471264368,1
2010,16,validation_all_rates,lab,lab,256,201,0.78515625,201
2010,16,validation_all_rates,lab,lib,5,0,0.0,4
2010,16,validation_all_rates,lab,natSW,1,0,0.0,1
2010,16,validation_all_rates,lab,oth,1,0,0.0,0
2010,16,validation_all_rates,lib,con,12,7,0.5833333333333334,5
2010,16,validation_all_rates,lib,lab,1,0,0.0,1
2010,16,validation_all_rates,lib,lib,49,34,0.6938775510204082,34
2010,16,validation_all_rates,natSW,natSW,8,6,0.75,6
2010,16,validation_all_rates,oth,lab,1,0,0.0,0
2010,16,fixed_0.3,con,con,207,207,1.0,207
2010,16,fixed_0.3,con,lib,3,0,0.0,3
2010,16,fixed_0.3,con,oth,1,0,0.0,1
2010,16,fixed_0.3,lab,con,87,87,1.0,0
2010,16,fixed_0.3,lab,lab,256,194,0.7578125,194
2010,16,fixed_0.3,lab,lib,5,0,0.0,4
2010,16,fixed_0.3,lab,natSW,1,0,0.0,1
2010,16,fixed_0.3,lab,oth,1,0,0.0,0
2010,16,fixed_0.3,lib,con,12,11,0.9166666666666666,1
2010,16,fixed_0.3,lib,lab,1,0,0.0,1
2010,16,fixed_0.3,lib,lib,49,25,0.5102040816326531,25
2010,16,fixed_0.3,natSW,natSW,8,5,0.625,5
2010,16,fixed_0.3,oth,lab,1,0,0.0,0
2010,32,validation_all_rates,con,con,207,207,1.0,207
