evaluation_year,architecture,policy,previous_winner_status,party,actual_seats,predicted_seats
2010,64_32,fixed_0.3,known,con,306,384
2010,64_32,fixed_0.3,known,lab,258,211
2010,64_32,fixed_0.3,known,lib,57,32
2010,64_32,fixed_0.3,known,natSW,9,5
2010,64_32,fixed_0.3,known,oth,2,0
2015,16,validation_all_rates,known,con,330,254
2015,16,validation_all_rates,known,lab,231,321
2015,16,validation_all_rates,known,lib,8,50
2015,16,validation_all_rates,known,natSW,59,7
2015,16,validation_all_rates,known,oth,4,0
2015,16,fixed_0.3,known,con,330,252
2015,16,fixed_0.3,known,lab,231,323
2015,16,fixed_0.3,known,lib,8,49
2015,16,fixed_0.3,known,natSW,59,8
2015,16,fixed_0.3,known,oth,4,0
2015,32,validation_all_rates,known,con,330,246
2015,32,validation_all_rates,known,lab,231,332
2015,32,validation_all_rates,known,lib,8,49
2015,32,validation_all_rates,known,natSW,59,5
2015,32,validation_all_rates,known,oth,4,0
2015,32,fixed_0.3,known,con,330,246
2015,32,fixed_0.3,known,lab,231,332
2015,32,fixed_0.3,known,lib,8,49
2015,32,fixed_0.3,known,natSW,59,5
2015,32,fixed_0.3,known,oth,4,0
2015,32_16,validation_all_rates,known,con,330,263
2015,32_16,validation_all_rates,known,lab,231,312
2015,32_16,validation_all_rates,known,lib,8,50
2015,32_16,validation_all_rates,known,natSW,59,7
2015,32_16,validation_all_rates,known,oth,4,0
2015,32_16,fixed_0.3,known,con,330,263
2015,32_16,fixed_0.3,known,lab,231,312
2015,32_16,fixed_0.3,known,lib,8,50
2015,32_16,fixed_0.3,known,natSW,59,7
2015,32_16,fixed_0.3,known,oth,4,0
2015,64_32,validation_all_rates,known,con,330,244
2015,64_32,validation_all_rates,known,lab,231,334
2015,64_32,validation_all_rates,known,lib,8,48
2015,64_32,validation_all_rates,known,natSW,59,6
2015,64_32,validation_all_rates,known,oth,4,0
2015,64_32,fixed_0.3,known,con,330,249
2015,64_32,fixed_0.3,known,lab,231,327
2015,64_32,fixed_0.3,known,lib,8,49
2015,64_32,fixed_0.3,known,natSW,59,7
2015,64_32,fixed_0.3,known,oth,4,0
2017,16,validation_all_rates,known,con,319,339
2017,16,validation_all_rates,known,lab,261,231
2017,16,validation_all_rates,known,lib,13,2
2017,16,validation_all_rates,known,natSW,37,60
2017,16,validation_all_rates,known,oth,2,0
2017,16,fixed_0.3,known,con,319,327
2017,16,fixed_0.3,known,lab,261,242
2017,16,fixed_0.3,known,lib,13,3
2017,16,fixed_0.3,known,natSW,37,60
2017,16,fixed_0.3,known,oth,2,0
2017,32,validation_all_rates,known,con,319,348
2017,32,validation_all_rates,known,lab,261,222
2017,32,validation_all_rates,known,lib,13,2
2017,32,validation_all_rates,known,natSW,37,60
2017,32,validation_all_rates,known,oth,2,0
2017,32,fixed_0.3,known,con,319,334
2017,32,fixed_0.3,known,lab,261,236
2017,32,fixed_0.3,known,lib,13,3
2017,32,fixed_0.3,known,natSW,37,59
2017,32,fixed_0.3,known,oth,2,0
2017,32_16,validation_all_rates,known,con,319,338
2017,32_16,validation_all_rates,known,lab,261,229
2017,32_16,validation_all_rates,known,lib,13,2
2017,32_16,validation_all_rates,known,natSW,37,63
2017,32_16,validation_all_rates,known,oth,2,0
2017,32_16,fixed_0.3,known,con,319,336
2017,32_16,fixed_0.3,known,lab,261,234
2017,32_16,fixed_0.3,known,lib,13,2
2017,32_16,fixed_0.3,known,natSW,37,60
2017,32_16,fixed_0.3,known,oth,2,0
2017,64_32,validation_all_rates,known,con,319,335
2017,64_32,validation_all_rates,known,lab,261,234
2017,64_32,validation_all_rates,known,lib,13,2
2017,64_32,validation_all_rates,known,natSW,37,61
2017,64_32,validation_all_rates,known,oth,2,0
2017,64_32,fixed_0.3,known,con,319,339
2017,64_32,fixed_0.3,known,lab,261,231
2017,64_32,fixed_0.3,known,lib,13,3
2017,64_32,fixed_0.3,known,natSW,37,59
2017,64_32,fixed_0.3,known,oth,2,0
2019,16,validation_all_rates,known,con,365,350
2019,16,validation_all_rates,known,lab,202,245
2019,16,validation_all_rates,known,lib,11,5
2019,16,validation_all_rates,known,natSW,52,32
2019,16,validation_all_rates,known,oth,2,0
2019,16,fixed_0.3,known,con,365,358
2019,16,fixed_0.3,known,lab,202,225
2019,16,fixed_0.3,known,lib,11,5
2019,16,fixed_0.3,known,natSW,52,44
2019,16,fixed_0.3,known,oth,2,0
2019,32,validation_all_rates,known,con,365,353
2019,32,validation_all_rates,known,lab,202,250
2019,32,validation_all_rates,known,lib,11,5
2019,32,validation_all_rates,known,natSW,52,24
2019,32,validation_all_rates,known,oth,2,0
2019,32,fixed_0.3,known,con,365,364
2019,32,fixed_0.3,known,lab,202,220
2019,32,fixed_0.3,known,lib,11,3
2019,32,fixed_0.3,known,natSW,52,45
2019,32,fixed_0.3,known,oth,2,0
2019,32_16,validation_all_rates,known,con,365,351
2019,32_16,validation_all_rates,known,lab,202,235
2019,32_16,validation_all_rates,known,lib,11,1
2019,32_16,validation_all_rates,known,natSW,52,45
2019,32_16,validation_all_rates,known,oth,2,0
2019,32_16,fixed_0.3,known,con,365,351
2019,32_16,fixed_0.3,known,lab,202,235
2019,32_16,fixed_0.3,known,lib,11,1
2019,32_16,fixed_0.3,known,natSW,52,45
2019,32_16,fixed_0.3,known,oth,2,0
2019,64_32,validation_all_rates,known,con,365,353
2019,64_32,validation_all_rates,known,lab,202,233
2019,64_32,validation_all_rates,known,lib,11,2
2019,64_32,validation_all_rates,known,natSW,52,44
2019,64_32,validation_all_rates,known,oth,2,0
2019,64_32,fixed_0.3,known,con,365,353
2019,64_32,fixed_0.3,known,lab,202,233
2019,64_32,fixed_0.3,known,lib,11,2
2019,64_32,fixed_0.3,known,natSW,52,44
2019,64_32,fixed_0.3,known,oth,2,0
