stage_full,train_through,validation_year_full,evaluation_year,architecture,learning_rate_full,patience,seeds_full,validation_accuracy_full,validation_changed_seat_accuracy_full,validation_changed_seats_full,validation_log_loss_full,validation_brier_score_full,validation_rows_full,validation_unseen_winners_full,evaluation_accuracy_full,evaluation_changed_seat_accuracy_full,evaluation_changed_seats_full,evaluation_log_loss_full,evaluation_brier_score_full,evaluation_rows_full,evaluation_unseen_winners_full,policy_full,stage_midrange,validation_year_midrange,learning_rate_midrange,seeds_midrange,validation_accuracy_midrange,validation_changed_seat_accuracy_midrange,validation_changed_seats_midrange,validation_log_loss_midrange,validation_brier_score_midrange,validation_rows_midrange,validation_unseen_winners_midrange,evaluation_accuracy_midrange,evaluation_changed_seat_accuracy_midrange,evaluation_changed_seats_midrange,evaluation_log_loss_midrange,evaluation_brier_score_midrange,evaluation_rows_midrange,evaluation_unseen_winners_midrange,policy_midrange,same_rate,midrange_accuracy_delta_pp,midrange_log_loss_delta
confirmation,1997,2001,2005,16,0.3,10,10,0.9594383775351014,0.0833333333333333,24,0.1556980934061859,0.0728629588480229,641,0,0.802547770700637,0.631578947368421,57,0.4435664741634175,0.2616139977901646,628,0,validation_all_rates,confirmation,2001,0.3,10,0.9594383775351014,0.0833333333333333,24,0.1556980934061859,0.0728629588480229,641,0,0.802547770700637,0.631578947368421,57,0.4435664741634175,0.2616139977901646,628,0,validation_midrange,True,0.0,0.0
confirmation,1997,2001,2005,16,0.2,20,10,0.9609984399375976,0.125,24,0.1550854599015561,0.073083163985825,641,0,0.8057324840764332,0.6140350877192983,57,0.4328457538584594,0.2555280119441636,628,0,validation_all_rates,confirmation,2001,0.2,10,0.9609984399375976,0.125,24,0.1550854599015561,0.073083163985825,641,0,0.8057324840764332,0.6140350877192983,57,0.4328457538584594,0.2555280119441636,628,0,validation_midrange,True,0.0,0.0
confirmation,1997,2001,2005,16,0.2,50,10,0.9609984399375976,0.125,24,0.1550854599015561,0.073083163985825,641,0,0.8057324840764332,0.6140350877192983,57,0.4328457538584594,0.2555280119441636,628,0,validation_all_rates,confirmation,2001,0.2,10,0.9609984399375976,0.125,24,0.1550854599015561,0.073083163985825,641,0,0.8057324840764332,0.6140350877192983,57,0.4328457538584594,0.2555280119441636,628,0,validation_midrange,True,0.0,0.0
confirmation,1997,2001,2005,32,0.3,10,10,0.953198127925117,0.125,24,0.1699497235701797,0.0790863641196257,641,0,0.8089171974522293,0.6140350877192983,57,0.4202977488871813,0.2495264018943279,628,0,validation_all_rates,confirmation,2001,0.3,10,0.953198127925117,0.125,24,0.1699497235701797,0.0790863641196257,641,0,0.8089171974522293,0.6140350877192983,57,0.4202977488871813,0.2495264018943279,628,0,validation_midrange,True,0.0,0.0
confirmation,1997,2001,2005,32,0.5,20,10,0.953198127925117,0.0833333333333333,24,0.1684676008613174,0.0787265827407187,641,0,0.8057324840764332,0.6140350877192983,57,0.421186014136569,0.2506288292476413,628,0,validation_all_rates,confirmation,2001,0.5,10,0.953198127925117,0.0833333333333333,24,0.1684676008613174,0.0787265827407187,641,0,0.8057324840764332,0.6140350877192983,57,0.421186014136569,0.2506288292476413,628,0,validation_midrange,True,0.0,0.0
confirmation,1997,2001,2005,32,0.2,50,10,0.9500780031201248,0.125,24,0.1684624081732648,0.0801151300314391,641,0,0.7929936305732485,0.631578947368421,57,0.4641291139385108,0.2794309116631934,628,0,validation_all_rates,confirmation,2001,0.2,10,0.9500780031201248,0.125,24,0.1684624081732648,0.0801151300314391,641,0,0.7929936305732485,0.631578947368421,57,0.4641291139385108,0.2794309116631934,628,0,validation_midrange,True,0.0,0.0
confirmation,1997,2001,2005,32_16,0.2,10,10,0.9547581903276132,0.0833333333333333,24,0.1769968722936049,0.0815520015142978,641,0,0.7882165605095541,0.6140350877192983,57,0.4708750801054929,0.279784001884203,628,0,validation_all_rates,confirmation,2001,0.2,10,0.9547581903276132,0.0833333333333333,24,0.1769968722936049,0.0815520015142978,641,0,0.7882165605095541,0.6140350877192983,57,0.4708750801054929,0.279784001884203,628,0,validation_midrange,True,0.0,0.0
confirmation,1997,2001,2005,32_16,0.2,20,10,0.9547581903276132,0.0833333333333333,24,0.1769968722936049,0.0815520015142978,641,0,0.7882165605095541,0.6140350877192983,57,0.4708750801054929,0.279784001884203,628,0,validation_all_rates,confirmation,2001,0.2,10,0.9547581903276132,0.0833333333333333,24,0.1769968722936049,0.0815520015142978,641,0,0.7882165605095541,0.6140350877192983,57,0.4708750801054929,0.279784001884203,628,0,validation_midrange,True,0.0,0.0
confirmation,1997,2001,2005,32_16,0.2,50,10,0.9547581903276132,0.0833333333333333,24,0.1769968722936049,0.0815520015142978,641,0,0.7882165605095541,0.6140350877192983,57,0.4708750801054929,0.279784001884203,628,0,validation_all_rates,confirmation,2001,0.2,10,0.9547581903276132,0.0833333333333333,24,0.1769968722936049,0.0815520015142978,641,0,0.7882165605095541,0.6140350877192983,57,0.4708750801054929,0.279784001884203,628,0,validation_midrange,True,0.0,0.0
confirmation,1997,2001,2005,64_32,0.2,10,10,0.9516380655226208,0.125,24,0.1764553373977323,0.0821719676496504,641,0,0.7945859872611465,0.6140350877192983,57,0.4470464258076872,0.2652880067840303,628,0,validation_all_rates,confirmation,2001,0.2,10,0.9516380655226208,0.125,24,0.1764553373977323,0.0821719676496504,641,0,0.7945859872611465,0.6140350877192983,57,0.4470464258076872,0.2652880067840303,628,0,validation_midrange,True,0.0,0.0
confirmation,1997,2001,2005,64_32,0.2,20,10,0.953198127925117,0.125,24,0.1756694655659104,0.0813339051301731,641,0,0.7914012738853503,0.631578947368421,57,0.4597363671223232,0.2738944204947226,628,0,validation_all_rates,confirmation,2001,0.2,10,0.953198127925117,0.125,24,0.1756694655659104,0.0813339051301731,641,0,0.7914012738853503,0.631578947368421,57,0.4597363671223232,0.2738944204947226,628,0,validation_midrange,True,0.0,0.0
confirmation,1997,2001,2005,64_32,0.2,50,10,0.953198127925117,0.125,24,0.1756694655659104,0.0813339051301731,641,0,0.7914012738853503,0.631578947368421,57,0.4597363671223232,0.2738944204947226,628,0,validation_all_rates,confirmation,2001,0.2,10,0.953198127925117,0.125,24,0.1756694655659104,0.0813339051301731,641,0,0.7914012738853503,0.631578947368421,57,0.4597363671223232,0.2738944204947226,628,0,validation_midrange,True,0.0,0.0
