evaluation_year,architecture,policy,seed_accuracy_mean,seed_accuracy_sd,seed_accuracy_min,seed_accuracy_max,seed_changed_accuracy_sd
2005,64_32,fixed_0.3,0.7993630573248407,0.04591218413016116,0.7181528662420382,0.8805732484076433,0.08683767488255847
2005,64_32,validation_all_rates,0.7957006369426752,0.04190215010066951,0.7404458598726115,0.89171974522293,0.09917411427228105
2010,16,fixed_0.3,0.8262658227848101,0.036577679181771856,0.7563291139240507,0.8734177215189873,0.011904761904761935
2010,16,validation_all_rates,0.8370253164556962,0.0364802035143261,0.7721518987341772,0.8718354430379747,0.14216100227169695
2010,32,fixed_0.3,0.8238924050632912,0.05185460243296046,0.7357594936708861,0.884493670886076,0.04839399196232821
2010,32,validation_all_rates,0.8325949367088608,0.055661829311357235,0.7120253164556962,0.8924050632911392,0.09689774164345064
2010,32_16,fixed_0.3,0.8367088607594937,0.047887274761150476,0.7420886075949367,0.8955696202531646,0.040151004652476334
2010,32_16,validation_all_rates,0.8531645569620252,0.030670636184204104,0.7974683544303798,0.8924050632911392,0.04125004294644915
2010,64_32,fixed_0.3,0.8495253164556962,0.0372308329637985,0.7911392405063291,0.8924050632911392,0.04690687691629892
2010,64_32,validation_all_rates,0.8746835443037975,0.025576634233165783,0.8243670886075949,0.9050632911392406,0.07758672274613268
2015,16,fixed_0.3,0.775,0.033737139115754704,0.7199367088607594,0.8243670886075949,0.03465251492162764
2015,16,validation_all_rates,0.777373417721519,0.027017916654100808,0.7468354430379747,0.8212025316455697,0.053886881304911614
2015,32,fixed_0.3,0.7574367088607594,0.02815734590598767,0.7056962025316456,0.7863924050632911,0.022802876920253515
2015,32,validation_all_rates,0.7574367088607594,0.02815734590598767,0.7056962025316456,0.7863924050632911,0.022802876920253515
2015,32_16,fixed_0.3,0.7849683544303797,0.036666172011637695,0.7136075949367089,0.8417721518987342,0.05559528734769982
2015,32_16,validation_all_rates,0.7849683544303797,0.036666172011637695,0.7136075949367089,0.8417721518987342,0.05559528734769982
2015,64_32,fixed_0.3,0.7713607594936709,0.013999166075935635,0.7563291139240507,0.8037974683544303,0.03112663155963173
2015,64_32,validation_all_rates,0.7593354430379746,0.030136763428759414,0.7009493670886076,0.8132911392405063,0.04931044494372202
2017,16,fixed_0.3,0.8843354430379747,0.018109236931683793,0.8481012658227848,0.9018987341772152,0.09845216800767392
2017,16,validation_all_rates,0.8814873417721518,0.019067021047812764,0.8465189873417721,0.8987341772151899,0.02674563195167286
2017,32,fixed_0.3,0.8925632911392405,0.011542080142763218,0.8718354430379747,0.9066455696202531,0.08960750091478152
2017,32,validation_all_rates,0.8783227848101266,0.02021425697581529,0.8401898734177216,0.8971518987341772,0.04407971429519738
2017,32_16,fixed_0.3,0.8806962025316455,0.01788900162506331,0.8417721518987342,0.8971518987341772,0.06334253644936015
2017,32_16,validation_all_rates,0.8715189873417721,0.02868344995968656,0.7974683544303798,0.8955696202531646,0.03070905345673824
2017,64_32,fixed_0.3,0.8784810126582279,0.02627408237781557,0.8164556962025317,0.8971518987341772,0.0450516673539175
2017,64_32,validation_all_rates,0.8819620253164556,0.01790454511711308,0.8481012658227848,0.9034810126582279,0.06052500030147482
2019,16,fixed_0.3,0.908860759493671,0.00797094324359178,0.8971518987341772,0.9224683544303798,0.11521822136682129
2019,16,validation_all_rates,0.8708860759493671,0.02150450410265317,0.8386075949367089,0.9129746835443038,0.12287748604772329
2019,32,fixed_0.3,0.9082278481012658,0.005920343966414447,0.8987341772151899,0.9177215189873418,0.15257233171531365
2019,32,validation_all_rates,0.8626582278481013,0.0168578470472346,0.8354430379746836,0.884493670886076,0.10472266206281682
2019,32_16,fixed_0.3,0.8875,0.03147324741625973,0.8370253164556962,0.9161392405063291,0.16105511598435412
2019,32_16,validation_all_rates,0.8875,0.03147324741625973,0.8370253164556962,0.9161392405063291,0.16105511598435412
2019,64_32,fixed_0.3,0.8933544303797468,0.020740660731193017,0.8512658227848101,0.9177215189873418,0.1577484702643086
2019,64_32,validation_all_rates,0.8933544303797468,0.020740660731193017,0.8512658227848101,0.9177215189873418,0.1577484702643086
