architecture,patience,policy,mean_accuracy,worst_accuracy,mean_changed_accuracy,mean_log_loss,mean_brier,mean_validation_log_loss
32_16,20,fixed_0.2,0.8244477142626784,0.7882165605095541,0.3352111164762058,0.4975600025401456,0.25688354124372775,0.25556941434775365
32_16,50,fixed_0.2,0.8244477142626784,0.7882165605095541,0.3352111164762058,0.4975600025401456,0.25688354124372775,0.25556941434775365
16,20,fixed_0.1,0.8239606009298827,0.7721518987341772,0.3352111164762058,0.5028759732882383,0.2537446149365299,0.2447411074778499
16,20,validation_midrange,0.8239572415275874,0.7737341772151899,0.3352111164762058,0.511532827066678,0.25479389166702165,0.2412513207179449
16,50,validation_midrange,0.8239572415275874,0.7737341772151899,0.3352111164762058,0.511532827066678,0.25479389166702165,0.2412513207179449
16,20,fixed_0.03,0.8234701281947916,0.7674050632911392,0.32205322173936374,0.5036943283895524,0.2545399330994212,0.24761151089706288
16,20,validation_compact,0.8234230965626596,0.7753164556962026,0.34717527764365036,0.516949350209312,0.2590613794573952,0.24162506371390216
16,50,validation_compact,0.8234230965626596,0.7753164556962026,0.34717527764365036,0.516949350209312,0.2590613794573952,0.24162506371390216
32_16,10,fixed_0.2,0.8223380096213281,0.7882165605095541,0.3352111164762058,0.4980511640354455,0.25852452161536604,0.25568604139921514
16,10,validation_midrange,0.8218408180816469,0.7705696202531646,0.3410590696925801,0.5113932166928132,0.259088419282117,0.241651201095188
16,10,validation_compact,0.8218408180816469,0.7705696202531646,0.3410590696925801,0.5113932166928132,0.259088419282117,0.241651201095188
16,20,fixed_0.01,0.8213469859442609,0.7642405063291139,0.32205322173936374,0.5079578677583331,0.257555068549356,0.24853238892548055
16,20,fixed_0.05,0.8208061221747428,0.7674050632911392,0.32205322173936374,0.5134567527555175,0.2599933608317596,0.2460113865839633
16,20,validation_all_rates,0.8207926845655621,0.7737341772151899,0.32205322173936374,0.517184874872381,0.25823789503517863,0.24094848680550116
16,50,validation_all_rates,0.8207926845655621,0.7737341772151899,0.32205322173936374,0.517184874872381,0.25823789503517863,0.24094848680550116
16,selected,validation_rate_and_patience,0.8207926845655621,0.7737341772151899,0.32205322173936374,0.517184874872381,0.25823789503517863,0.24094848680550116
16,50,fixed_0.05,0.8202686178075197,0.7705696202531646,0.32205322173936374,0.5158656895926474,0.2601713740252677,0.24546686429344397
16,50,fixed_0.01,0.8197479104517725,0.7674050632911392,0.32205322173936374,0.5145980799486406,0.26109349725144404,0.24756701154971658
16,50,fixed_0.03,0.8186930581310973,0.7674050632911392,0.32205322173936374,0.5174843277925755,0.2628488963416562,0.24678262822292965
16,10,validation_all_rates,0.8186762611196216,0.7705696202531646,0.32790117495573795,0.5170452644985163,0.26253242265027393,0.24134836718274422
32_16,10,fixed_0.01,0.8150413878362762,0.7800632911392406,0.3204571060679221,0.48143985512727916,0.2459612115282603,0.27424994880892745
32_16,10,fixed_0.05,0.8149977156064393,0.7832278481012658,0.3232469553087612,0.48309781922871636,0.2497770670967184,0.26360231663077355
32_16,20,fixed_0.05,0.8128745733559085,0.7832278481012658,0.3290949085251355,0.49299046243155215,0.256886214436927,0.2624424184274292
32_16,10,fixed_0.1,0.8123169125749147,0.7882165605095541,0.34438542840281133,0.4955133027864827,0.2582654378849236,0.25737774067452523
32_16,20,fixed_0.1,0.8123169125749147,0.7882165605095541,0.34438542840281133,0.4984678863936118,0.2603753026195435,0.2573683702757152
32_16,50,fixed_0.1,0.8123169125749147,0.7882165605095541,0.35023338161918555,0.5073780886296093,0.2645355264356135,0.25724141375643184
32_16,50,fixed_0.05,0.8118130022306431,0.7832278481012658,0.3290949085251355,0.4962156834784355,0.2588594554645472,0.26239434881750695
32_16,50,fixed_0.03,0.8102340831519257,0.7943037974683544,0.34544503460486076,0.5007471792169922,0.260019349618465,0.26445091926836417
32_16,20,fixed_0.01,0.8097167351984735,0.7863924050632911,0.3350769891088578,0.48901466080464645,0.2530776815668084,0.26947657027869165
32_16,10,fixed_0.03,0.8086652422800936,0.7832278481012658,0.3276329202210419,0.4860168017860578,0.25140749445706917,0.2667234757780589
