architecture,patience,policy,mean_accuracy,worst_accuracy,mean_changed_accuracy,mean_log_loss,mean_brier,mean_validation_log_loss
16,20,validation_midrange,0.8186695423150313,0.7705696202531646,0.32790117495573795,0.5280012571837696,0.2666840516014189,0.24460384589316517
16,50,validation_midrange,0.8186695423150313,0.7705696202531646,0.32790117495573795,0.5280012571837696,0.2666840516014189,0.24460384589316517
32,10,validation_compact,0.8181689913730549,0.7515822784810127,0.35288910349267666,0.5396828965782116,0.27210791618292124,0.2576528397568217
16,20,fixed_0.1,0.8181488349592841,0.7579113924050633,0.3352111164762058,0.510359391401452,0.2632640686484406,0.24921796794230958
64_32,10,fixed_0.1,0.8177389878792765,0.7610759493670886,0.32072536080261815,0.5098358270787122,0.2519299427544947,0.26300354220262284
32,10,fixed_0.2,0.8171007014431991,0.754746835443038,0.36604699822951875,0.5355016194799286,0.26824030932206977,0.2592207157251245
32,20,fixed_0.2,0.8171007014431991,0.754746835443038,0.36604699822951875,0.5355016194799286,0.26824030932206977,0.2592207157251245
32,50,fixed_0.2,0.8171007014431991,0.754746835443038,0.36604699822951875,0.5355016194799286,0.26824030932206977,0.2592207157251245
32,10,fixed_0.05,0.8161231153753125,0.745253164556962,0.34132732442727615,0.5080218112431636,0.25726442944991673,0.2609677816514587
32,10,validation_midrange,0.8160458491225242,0.7515822784810127,0.35288910349267666,0.5396903268752501,0.2726041973136822,0.2570026692693805
64_32,50,fixed_0.03,0.8155822516057943,0.759493670886076,0.33095927893127314,0.5073216699863553,0.2537072397212925,0.26806044923274736
32,20,validation_compact,0.8150044344110295,0.7420886075949367,0.35288910349267666,0.5376106476630019,0.272463543378464,0.2562759992774934
32,50,validation_compact,0.8150044344110295,0.7420886075949367,0.35288910349267666,0.5376106476630019,0.272463543378464,0.2562759992774934
32_16,20,fixed_0.01,0.8145106022736436,0.7784810126582279,0.30862707226782554,0.4911658743876346,0.2459711533244385,0.267381493387155
16,10,validation_all_rates,0.8144635706415114,0.7705696202531646,0.29281345565749234,0.529993943595728,0.26558584765913973,0.24268948573166685
32,20,fixed_0.1,0.8139428632857642,0.7420886075949367,0.35288910349267666,0.537078454819751,0.2727092177394759,0.2565859793115532
32,50,fixed_0.1,0.8139428632857642,0.7420886075949367,0.35288910349267666,0.537078454819751,0.2727092177394759,0.2565859793115532
64_32,50,fixed_0.01,0.8134826251713295,0.7610759493670886,0.3470411502763024,0.5135862151649937,0.2562355755015951,0.27195547629553485
32,20,fixed_0.01,0.8129249643903357,0.745253164556962,0.34132732442727615,0.5270574046026343,0.26881748617687035,0.2593445969247335
32,10,validation_all_rates,0.8128812921604988,0.7658227848101266,0.34411717366811523,0.5389792605054172,0.26470947509482534,0.25404236677676395
16,50,fixed_0.01,0.8128745733559085,0.7658227848101266,0.2989296636085627,0.5294032015875955,0.2716660395281474,0.24949809506647166
16,20,fixed_0.05,0.8123505065978661,0.7658227848101266,0.30198776758409784,0.5278253931907443,0.27000175419517064,0.2481814958286969
32,20,validation_midrange,0.8123505065978661,0.7420886075949367,0.35288910349267666,0.5362559802830446,0.2728075786428556,0.25480672099677837
32,50,validation_midrange,0.8123505065978661,0.7420886075949367,0.35288910349267666,0.5362559802830446,0.2728075786428556,0.25480672099677837
16,20,validation_all_rates,0.8123404283909806,0.7705696202531646,0.29281345565749234,0.5364799119694599,0.2710266606477904,0.2426502713037041
16,50,validation_all_rates,0.8123404283909806,0.7705696202531646,0.29281345565749234,0.5364799119694599,0.2710266606477904,0.2426502713037041
16,selected,validation_rate_and_patience,0.8123404283909806,0.7705696202531646,0.29281345565749234,0.5364799119694599,0.2710266606477904,0.2426502713037041
16,50,fixed_0.05,0.8118197210352335,0.7658227848101266,0.30198776758409784,0.5354877734169131,0.2743057644835994,0.24817487230362104
32,10,fixed_0.03,0.811366201725389,0.745253164556962,0.34132732442727615,0.5195345812384001,0.26388840712936296,0.26008172795891377
32_16,50,fixed_0.01,0.8107951033352147,0.7784810126582279,0.31447502548419975,0.5052413845022162,0.25566235716664387,0.265413346509142
64_32,20,fixed_0.1,0.8103079900024187,0.7610759493670886,0.3324212672353667,0.5136823818493442,0.25550545144692055,0.26225434716700097
64_32,50,fixed_0.1,0.8103079900024187,0.7610759493670886,0.3324212672353667,0.5136823818493442,0.25550545144692055,0.26225434716700097
16,50,fixed_0.03,0.8102340831519256,0.7626582278481012,0.2989296636085627,0.534812264262436,0.2753634402845704,0.24862455599737324
32,20,fixed_0.05,0.8081512537289366,0.75,0.34411717366811523,0.5417562300902594,0.27514718916267994,0.2556084414008151
32,50,fixed_0.05,0.8081512537289366,0.75,0.34411717366811523,0.5417562300902594,0.27514718916267994,0.2556084414008151
32,50,fixed_0.01,0.8060247520761106,0.745253164556962,0.34411717366811523,0.5457280864654507,0.2797297214659526,0.25700082617388315
32,20,fixed_0.03,0.8044626300088688,0.7468354430379747,0.34411717366811523,0.5431920283089703,0.2765531804664683,0.2565711194274458
32,20,validation_all_rates,0.8044391141928028,0.7420886075949367,0.34411717366811523,0.5447832148709582,0.2780818696819014,0.2519377354659167
32,50,validation_all_rates,0.8044391141928028,0.7420886075949367,0.34411717366811523,0.5447832148709582,0.2780818696819014,0.2519377354659167
32,selected,validation_rate_and_patience,0.8044391141928028,0.7420886075949367,0.34411717366811523,0.5447832148709582,0.2780818696819014,0.2519377354659167
32,50,fixed_0.03,0.8018053427934101,0.7484177215189873,0.34411717366811523,0.5524823410086281,0.28108277035767104,0.2557753197733395
