patience,best_epoch,stopping_epoch,best_validation_loss,hit_epoch_cap,parameters,elapsed_seconds,stage,train_through,validation_year,architecture,learning_rate,seed,validation_accuracy,validation_changed_seat_accuracy,validation_changed_seats,validation_log_loss,validation_brier_score,validation_rows,validation_unseen_winners
50,2,52,0.2927077114582062,False,581,4.254291396999633,screening,2005,2010,16,1.0,101223,0.8892405063291139,0.5535714285714286,112,0.29270767150174837,0.1570783570322287,632,0
10,4,14,0.2771774232387543,False,581,0.9481357679997018,screening,2005,2010,16,1.0,101224,0.8971518987341772,0.5982142857142857,112,0.2771774357880138,0.14340836337133228,632,0
20,4,24,0.2771774232387543,False,581,1.6130798199997116,screening,2005,2010,16,1.0,101224,0.8971518987341772,0.5982142857142857,112,0.2771774357880138,0.14340836337133228,632,0
50,4,54,0.2771774232387543,False,581,3.683665658999871,screening,2005,2010,16,1.0,101224,0.8971518987341772,0.5982142857142857,112,0.2771774357880138,0.14340836337133228,632,0
10,1,11,0.28751838207244873,False,581,1.1545372919999863,screening,2005,2010,16,1.0,101225,0.9018987341772152,0.7232142857142857,112,0.28751840486194463,0.14944834792628775,632,0
20,1,21,0.28751838207244873,False,581,1.8012792620002074,screening,2005,2010,16,1.0,101225,0.9018987341772152,0.7232142857142857,112,0.28751840486194463,0.14944834792628775,632,0
50,1,51,0.28751838207244873,False,581,3.95788052800026,screening,2005,2010,16,1.0,101225,0.9018987341772152,0.7232142857142857,112,0.28751840486194463,0.14944834792628775,632,0
10,81,91,0.29019835591316223,False,1157,6.347757636000097,screening,2005,2010,32,0.01,101223,0.8987341772151899,0.7589285714285714,112,0.2901983691650831,0.15296641524639815,632,0
20,103,123,0.2894337773323059,False,1157,8.739914444000078,screening,2005,2010,32,0.01,101223,0.9018987341772152,0.7678571428571429,112,0.2894338161932499,0.1530458557615923,632,0
50,103,153,0.2894337773323059,False,1157,10.89249868800016,screening,2005,2010,32,0.01,101223,0.9018987341772152,0.7678571428571429,112,0.2894338161932499,0.1530458557615923,632,0
10,104,114,0.27633610367774963,False,1157,8.408060236999972,screening,2005,2010,32,0.01,101224,0.8971518987341772,0.6160714285714286,112,0.27633611104986705,0.1464637105794772,632,0
20,104,124,0.27633610367774963,False,1157,9.192397330999938,screening,2005,2010,32,0.01,101224,0.8971518987341772,0.6160714285714286,112,0.27633611104986705,0.1464637105794772,632,0
50,104,154,0.27633610367774963,False,1157,11.181006894000348,screening,2005,2010,32,0.01,101224,0.8971518987341772,0.6160714285714286,112,0.27633611104986705,0.1464637105794772,632,0
10,80,90,0.31785330176353455,False,1157,6.40393257300002,screening,2005,2010,32,0.01,101225,0.8734177215189873,0.8035714285714286,112,0.31785331447236315,0.17300400086378004,632,0
20,146,166,0.3109721839427948,False,1157,12.011545132000265,screening,2005,2010,32,0.01,101225,0.8860759493670886,0.7946428571428571,112,0.3109722151222178,0.16849411616714297,632,0
50,335,385,0.30196186900138855,False,1157,27.744218964000083,screening,2005,2010,32,0.01,101225,0.8939873417721519,0.7589285714285714,112,0.3019618840421925,0.16101151729693483,632,0
10,29,39,0.2874850630760193,False,1157,2.9867204559996026,screening,2005,2010,32,0.03,101223,0.9018987341772152,0.75,112,0.28748508222795494,0.1513844713051981,632,0
20,53,73,0.2834213674068451,False,1157,5.386308607999581,screening,2005,2010,32,0.03,101223,0.9050632911392406,0.7410714285714286,112,0.283421342795857,0.14938798383607596,632,0
50,53,103,0.2834213674068451,False,1157,7.4149727689996325,screening,2005,2010,32,0.03,101223,0.9050632911392406,0.7410714285714286,112,0.283421342795857,0.14938798383607596,632,0
10,37,47,0.2764928936958313,False,1157,3.3242672530000164,screening,2005,2010,32,0.03,101224,0.8971518987341772,0.6160714285714286,112,0.27649288955520845,0.14666599661944554,632,0
20,37,57,0.2764928936958313,False,1157,4.0669542519999595,screening,2005,2010,32,0.03,101224,0.8971518987341772,0.6160714285714286,112,0.27649288955520845,0.14666599661944554,632,0
50,37,87,0.2764928936958313,False,1157,6.255513935000181,screening,2005,2010,32,0.03,101224,0.8971518987341772,0.6160714285714286,112,0.27649288955520845,0.14666599661944554,632,0
10,46,56,0.3110949397087097,False,1157,3.773380165999697,screening,2005,2010,32,0.03,101225,0.8860759493670886,0.8035714285714286,112,0.3110949419525898,0.16831934639155846,632,0
20,67,87,0.3000677824020386,False,1157,5.950693604999742,screening,2005,2010,32,0.03,101225,0.8860759493670886,0.7678571428571429,112,0.3000677820118249,0.16084011736846895,632,0
50,143,193,0.2972424030303955,False,1157,13.42201255100008,screening,2005,2010,32,0.03,101225,0.9034810126582279,0.7410714285714286,112,0.29724242159908615,0.15767904528555338,632,0
10,19,29,0.28604361414909363,False,1157,2.0207730189999893,screening,2005,2010,32,0.05,101223,0.9018987341772152,0.75,112,0.2860435762662995,0.15063293576671816,632,0
20,40,60,0.2849326431751251,False,1157,4.242029509000076,screening,2005,2010,32,0.05,101223,0.9066455696202531,0.7232142857142857,112,0.28493265535871365,0.1504224162132423,632,0
50,40,90,0.2849326431751251,False,1157,6.375297694999972,screening,2005,2010,32,0.05,101223,0.9066455696202531,0.7232142857142857,112,0.28493265535871365,0.1504224162132423,632,0
10,20,30,0.2766880691051483,False,1157,2.4369988279995596,screening,2005,2010,32,0.05,101224,0.8955696202531646,0.6160714285714286,112,0.2766880420405513,0.1467417892171527,632,0
20,20,40,0.2766880691051483,False,1157,3.209458075999919,screening,2005,2010,32,0.05,101224,0.8955696202531646,0.6160714285714286,112,0.2766880420405513,0.1467417892171527,632,0
50,20,70,0.2766880691051483,False,1157,5.424488278999888,screening,2005,2010,32,0.05,101224,0.8955696202531646,0.6160714285714286,112,0.2766880420405513,0.1467417892171527,632,0
10,15,25,0.3193749487400055,False,1157,1.7416030919998775,screening,2005,2010,32,0.05,101225,0.8781645569620253,0.8035714285714286,112,0.31937495985187225,0.17369942802842958,632,0
20,67,87,0.2918131649494171,False,1157,6.153269440000258,screening,2005,2010,32,0.05,101225,0.8955696202531646,0.6964285714285714,112,0.29181318245167776,0.15534047192368816,632,0
50,67,117,0.2918131649494171,False,1157,8.239283686999897,screening,2005,2010,32,0.05,101225,0.8955696202531646,0.6964285714285714,112,0.29181318245167776,0.15534047192368816,632,0
10,9,19,0.27852579951286316,False,1157,1.2607401529999152,screening,2005,2010,32,0.1,101223,0.9082278481012658,0.75,112,0.2785258198821792,0.14596199106725785,632,0
20,9,29,0.27852579951286316,False,1157,1.9299974619998466,screening,2005,2010,32,0.1,101223,0.9082278481012658,0.75,112,0.2785258198821792,0.14596199106725785,632,0
50,9,59,0.27852579951286316,False,1157,3.9966146490000938,screening,2005,2010,32,0.1,101223,0.9082278481012658,0.75,112,0.2785258198821792,0.14596199106725785,632,0
10,11,21,0.2760637104511261,False,1157,1.5847341379999307,screening,2005,2010,32,0.1,101224,0.8955696202531646,0.5714285714285714,112,0.2760637008566442,0.14699220914603942,632,0
20,11,31,0.2760637104511261,False,1157,2.331922552999913,screening,2005,2010,32,0.1,101224,0.8955696202531646,0.5714285714285714,112,0.2760637008566442,0.14699220914603942,632,0
50,11,61,0.2760637104511261,False,1157,4.492885814000147,screening,2005,2010,32,0.1,101224,0.8955696202531646,0.5714285714285714,112,0.2760637008566442,0.14699220914603942,632,0
