stage,train_through,validation_year,evaluation_year,architecture,learning_rate,patience,seeds,validation_accuracy,validation_changed_seat_accuracy,validation_changed_seats,validation_log_loss,validation_brier_score,validation_rows,validation_unseen_winners,evaluation_accuracy,evaluation_changed_seat_accuracy,evaluation_changed_seats,evaluation_log_loss,evaluation_brier_score,evaluation_rows,evaluation_unseen_winners,policy
confirmation,2015,2017,2019,32_16,0.5,20,10,0.8924050632911392,0.08955223880597014,67,0.332768090598661,0.16978955665646758,632,0,0.9066455696202531,0.39473684210526316,76,0.22287723812943855,0.13092862459458668,632,0,fixed_0.5
confirmation,2015,2017,2019,32_16,1.0,20,10,0.8908227848101266,0.08955223880597014,67,0.3409666679581182,0.18081492444476638,632,0,0.9161392405063291,0.5394736842105263,76,0.2042894315131156,0.11671948930442756,632,0,fixed_1
confirmation,2015,2017,2019,32_16,0.3,50,10,0.8924050632911392,0.08955223880597014,67,0.314572218068101,0.16584528409577287,632,0,0.9018987341772152,0.35526315789473684,76,0.24370383581672622,0.14249094465448156,632,0,validation_all_rates
confirmation,2015,2017,2019,32_16,0.3,50,10,0.8924050632911392,0.08955223880597014,67,0.314572218068101,0.16584528409577287,632,0,0.9018987341772152,0.35526315789473684,76,0.24370383581672622,0.14249094465448156,632,0,validation_midrange
confirmation,2015,2017,2019,32_16,0.3,50,10,0.8924050632911392,0.08955223880597014,67,0.314572218068101,0.16584528409577287,632,0,0.9018987341772152,0.35526315789473684,76,0.24370383581672622,0.14249094465448156,632,0,validation_compact
confirmation,2015,2017,2019,32_16,0.01,50,10,0.8623417721518988,0.2835820895522388,67,0.34842902236162443,0.18363085329531018,632,0,0.8370253164556962,0.2894736842105263,76,0.33576628915593043,0.1884435097421804,632,0,fixed_0.01
confirmation,2015,2017,2019,32_16,0.03,50,10,0.8639240506329114,0.26865671641791045,67,0.3407233501201576,0.18041511852274378,632,0,0.8354430379746836,0.27631578947368424,76,0.3302618235034139,0.18656904235523497,632,0,fixed_0.03
confirmation,2015,2017,2019,32_16,0.05,50,10,0.8924050632911392,0.11940298507462686,67,0.33568594355148396,0.17602895468626586,632,0,0.8528481012658228,0.2631578947368421,76,0.31281194571560567,0.1789833431906273,632,0,fixed_0.05
confirmation,2015,2017,2019,32_16,0.1,50,10,0.8924050632911392,0.11940298507462686,67,0.32597562929518165,0.17209584562303187,632,0,0.8512658227848101,0.2631578947368421,76,0.31628745440600986,0.18342820539982924,632,0,fixed_0.1
confirmation,2015,2017,2019,32_16,0.2,50,10,0.8955696202531646,0.08955223880597014,67,0.3213437819372928,0.16886937922592996,632,0,0.8876582278481012,0.2631578947368421,76,0.28558403900579266,0.16773109399495326,632,0,fixed_0.2
