constituency_name,country/region,election,majority_proportion,winner,constituency_id,boundary_set,election_type,con_share,lab_share,lib_share,natSW_share,previous_election
North East Derbyshire,East Midlands,2024,0.3835302838704051,lab,E14001391,2023-current,actual,0.34531025160249423,0.3835302838704051,0.04707190511489993,0.0,2019_notional
North East Fife,Scotland,2024,0.5472757910503651,lib,S14000100,2023-current,actual,0.0389908256880734,0.09422392810335144,0.5472757910503651,0.23181520314547838,2019_notional
North East Hampshire,South East,2024,0.38117350611951045,lib,E14001392,2023-current,actual,0.3697624190064795,0.0910187185025198,0.38117350611951045,0.0,2019_notional
North East Hertfordshire,East of England,2024,0.34954303122619956,lab,E14001393,2023-current,actual,0.31292840822543794,0.34954303122619956,0.10401751713632902,0.0,2019_notional
North East Somerset and Hanham,South West,2024,0.4056528117359413,lab,E14001394,2023-current,actual,0.30161369193154036,0.4056528117359413,0.07585330073349633,0.0,2019_notional
North Herefordshire,West Midlands,2024,0.4315952503871967,oth,E14001395,2023-current,actual,0.3145625670148128,0.06363925181684603,0.02851356181247766,0.0,2019_notional
North Norfolk,East of England,2024,0.4142592946878388,lib,E14001396,2023-current,actual,0.3593095678421869,0.06117807112641626,0.4142592946878388,0.0,2019_notional
North Northumberland,North East,2024,0.3655590360952439,lab,E14001397,2023-current,actual,0.26181847961836907,0.3655590360952439,0.10582888028990849,0.0,2019_notional
North Shropshire,West Midlands,2024,0.5285720046779853,lib,E14001398,2023-current,actual,0.21984514255756746,0.06902044602169617,0.5285720046779853,0.0,2019_notional
North Somerset,South West,2024,0.35594985678681695,lab,E14001399,2023-current,actual,0.34406502250492876,0.35594985678681695,0.132444295651527,0.0,2019_notional
North Warwickshire and Bedworth,West Midlands,2024,0.35972154372252074,lab,E14001400,2023-current,actual,0.30603321934538347,0.35972154372252074,0.029995114802149486,0.0,2019_notional
North West Cambridgeshire,East of England,2024,0.33281559517377995,lab,E14001401,2023-current,actual,0.3319376913380155,0.33281559517377995,0.07185305240410589,0.0,2019_notional
North West Essex,East of England,2024,0.35597396388776525,con,E14001402,2023-current,actual,0.35597396388776525,0.3079836722685985,0.11133379913948442,0.0,2019_notional
North West Hampshire,South East,2024,0.3496448458375145,con,E14001403,2023-current,actual,0.3496448458375145,0.2849497274855872,0.15005017413375835,0.0,2019_notional
North West Leicestershire,East Midlands,2024,0.34734003129374946,lab,E14001404,2023-current,actual,0.32650498229432595,0.34734003129374946,0.03353784073128552,0.0,2019_notional
North West Norfolk,East of England,2024,0.36119463267962126,con,E14001405,2023-current,actual,0.36119463267962126,0.250033657945519,0.1456715882062559,0.0,2019_notional
Northampton North,East Midlands,2024,0.4354865711620788,lab,E14001406,2023-current,actual,0.2199076842130438,0.4354865711620788,0.05383493171980006,0.0,2019_notional
Northampton South,East Midlands,2024,0.38470298833819244,lab,E14001407,2023-current,actual,0.2919779518950437,0.38470298833819244,0.07272685860058309,0.0,2019_notional
Norwich North,East of England,2024,0.45436468917294875,lab,E14001408,2023-current,actual,0.21728395061728395,0.45436468917294875,0.045296624057686,0.0,2019_notional
Norwich South,East of England,2024,0.47641645415234507,lab,E14001409,2023-current,actual,0.12875041578889013,0.47641645415234507,0.07932143253132276,0.0,2019_notional
